Image,Time(in mins),Sample Name,Milk Type,Gamma Avg RGB
photo_3.jpg,2,Cow milk1,Fresh,"(167, 215, 239)"
photo_4.jpg,4,Cow milk1,Fresh,"(167, 216, 240)"
photo_5.jpg,6,Cow milk1,Fresh,"(167, 216, 240)"
photo_6.jpg,8,Cow milk1,Fresh,"(168, 216, 240)"
photo_7.jpg,10,Cow milk1,Fresh,"(168, 216, 239)"
photo_8.jpg,12,Cow milk1,Fresh,"(169, 216, 239)"
photo_9.jpg,14,Cow milk1,Fresh,"(169, 216, 238)"
photo_10.jpg,16,Cow milk1,Fresh,"(169, 216, 237)"
photo_11.jpg,18,Cow milk1,Fresh,"(170, 215, 237)"
photo_12.jpg,20,Cow milk1,Fresh,"(170, 215, 236)"
photo_13.jpg,22,Cow milk1,Fresh,"(170, 215, 236)"
photo_14.jpg,24,Cow milk1,Fresh,"(171, 215, 235)"
photo_15.jpg,26,Cow milk1,Fresh,"(171, 215, 235)"
photo_16.jpg,28,Cow milk1,Fresh,"(171, 215, 234)"
photo_17.jpg,30,Cow milk1,Fresh,"(171, 215, 234)"
photo_18.jpg,32,Cow milk1,Fresh,"(171, 215, 234)"
photo_19.jpg,34,Cow milk1,Fresh,"(171, 215, 233)"
photo_20.jpg,36,Cow milk1,Fresh,"(171, 215, 233)"
photo_21.jpg,38,Cow milk1,Fresh,"(172, 215, 233)"
photo_22.jpg,40,Cow milk1,Fresh,"(172, 215, 233)"
photo_23.jpg,42,Cow milk1,Fresh,"(172, 215, 232)"
photo_24.jpg,44,Cow milk1,Fresh,"(172, 215, 232)"
photo_25.jpg,46,Cow milk1,Fresh,"(172, 215, 231)"
photo_26.jpg,48,Cow milk1,Fresh,"(172, 214, 232)"
photo_27.jpg,50,Cow milk1,Fresh,"(173, 214, 232)"
photo_28.jpg,52,Cow milk1,Fresh,"(172, 214, 231)"
photo_29.jpg,54,Cow milk1,Fresh,"(172, 214, 231)"
photo_30.jpg,56,Cow milk1,Fresh,"(172, 214, 231)"
photo_31.jpg,58,Cow milk1,Fresh,"(173, 214, 231)"
photo_32.jpg,60,Cow milk1,Fresh,"(172, 214, 230)"
photo_33.jpg,62,Cow milk1,Fresh,"(173, 214, 230)"
photo_34.jpg,64,Cow milk1,Fresh,"(173, 214, 230)"
photo_35.jpg,66,Cow milk1,Fresh,"(173, 214, 230)"
photo_36.jpg,68,Cow milk1,Fresh,"(173, 214, 230)"
photo_37.jpg,70,Cow milk1,Fresh,"(173, 214, 230)"
photo_38.jpg,72,Cow milk1,Fresh,"(173, 214, 229)"
photo_39.jpg,74,Cow milk1,Fresh,"(173, 214, 230)"
photo_40.jpg,76,Cow milk1,Fresh,"(173, 214, 229)"
photo_41.jpg,78,Cow milk1,Fresh,"(173, 214, 229)"
photo_42.jpg,80,Cow milk1,Fresh,"(173, 214, 229)"
photo_43.jpg,82,Cow milk1,Fresh,"(173, 214, 229)"
photo_44.jpg,84,Cow milk1,Fresh,"(174, 214, 229)"
photo_45.jpg,86,Cow milk1,Fresh,"(173, 214, 229)"
photo_46.jpg,88,Cow milk1,Fresh,"(173, 214, 229)"
photo_47.jpg,90,Cow milk1,Fresh,"(173, 213, 229)"
photo_48.jpg,92,Cow milk1,Fresh,"(173, 214, 229)"
photo_49.jpg,94,Cow milk1,Fresh,"(173, 213, 229)"
